Saturday_19	(51, 3.1934877896055105)
Saturday_11	(43, 2.6925485284909207)
Saturday_10	(43, 2.6925485284909207)
Saturday_21	(40, 2.504696305572949)
Monday_23	(39, 2.4420788979336256)
Sunday_14	(35, 2.1916092673763305)
Monday_22	(34, 2.128991859737007)
Saturday_20	(29, 1.8159048215403883)
Saturday_12	(26, 1.6280525986224168)
Saturday_15	(25, 1.5654351909830932)
Sunday_09	(22, 1.3775829680651221)
Saturday_13	(22, 1.3775829680651221)
Friday_22	(22, 1.3775829680651221)
Saturday_08	(21, 1.3149655604257984)
Friday_23	(21, 1.3149655604257984)
Saturday_09	(20, 1.2523481527864746)
Friday_14	(18, 1.127113337507827)
Saturday_16	(16, 1.0018785222291797)
Friday_21	(16, 1.0018785222291797)
Saturday_22	(15, 0.939261114589856)
Saturday_14	(15, 0.939261114589856)
Monday_09	(15, 0.939261114589856)
Friday_16	(15, 0.939261114589856)
Friday_08	(15, 0.939261114589856)
Friday_19	(14, 0.8766437069505322)
Saturday_18	(13, 0.8140262993112084)
Monday_19	(13, 0.8140262993112084)
Sunday_10	(12, 0.7514088916718847)
Saturday_07	(12, 0.7514088916718847)
Saturday_06	(12, 0.7514088916718847)
Monday_08	(12, 0.7514088916718847)
Friday_09	(12, 0.7514088916718847)
Sunday_08	(11, 0.6887914840325611)
Friday_15	(11, 0.6887914840325611)
Friday_18	(9, 0.5635566687539135)
Friday_11	(9, 0.5635566687539135)
Sunday_13	(8, 0.5009392611145899)
Saturday_23	(8, 0.5009392611145899)
Friday_20	(8, 0.5009392611145899)
Saturday_17	(7, 0.4383218534752661)
Friday_13	(7, 0.4383218534752661)
Sunday_12	(6, 0.37570444583594237)
Friday_17	(5, 0.31308703819661865)
Sunday_11	(4, 0.25046963055729493)
Monday_16	(4, 0.25046963055729493)
Friday_12	(4, 0.25046963055729493)
Monday_18	(3, 0.18785222291797118)
Monday_21	(2, 0.12523481527864747)
Monday_14	(2, 0.12523481527864747)
Monday_12	(2, 0.12523481527864747)
Monday_10	(2, 0.12523481527864747)
Friday_06	(2, 0.12523481527864747)
Monday_11	(1, 0.06261740763932373)
Monday_06	(1, 0.06261740763932373)
