Tuesday_22	(75, 4.69630557294928)
Sunday_19	(55, 3.4439574201628056)
Wednesday_22	(49, 3.068252974326863)
Sunday_20	(43, 2.6925485284909207)
Tuesday_23	(39, 2.4420788979336256)
Wednesday_23	(35, 2.1916092673763305)
Wednesday_08	(35, 2.1916092673763305)
Tuesday_08	(31, 1.9411396368190357)
Thursday_09	(31, 1.9411396368190357)
Thursday_23	(30, 1.878522229179712)
Thursday_22	(28, 1.7532874139010644)
Thursday_08	(24, 1.5028177833437695)
Sunday_21	(22, 1.3775829680651221)
Thursday_06	(18, 1.127113337507827)
Sunday_18	(18, 1.127113337507827)
Sunday_15	(14, 0.8766437069505322)
Thursday_11	(13, 0.8140262993112084)
Sunday_22	(13, 0.8140262993112084)
Wednesday_09	(12, 0.7514088916718847)
Thursday_12	(12, 0.7514088916718847)
Wednesday_19	(11, 0.6887914840325611)
Tuesday_19	(11, 0.6887914840325611)
Tuesday_09	(11, 0.6887914840325611)
Thursday_13	(10, 0.6261740763932373)
Sunday_16	(10, 0.6261740763932373)
Wednesday_20	(9, 0.5635566687539135)
Thursday_19	(9, 0.5635566687539135)
Wednesday_21	(8, 0.5009392611145899)
Wednesday_10	(8, 0.5009392611145899)
Tuesday_21	(8, 0.5009392611145899)
Tuesday_20	(7, 0.4383218534752661)
Wednesday_15	(6, 0.37570444583594237)
Thursday_18	(6, 0.37570444583594237)
Wednesday_06	(5, 0.31308703819661865)
Thursday_16	(5, 0.31308703819661865)
Sunday_23	(5, 0.31308703819661865)
Tuesday_10	(4, 0.25046963055729493)
Thursday_21	(4, 0.25046963055729493)
Thursday_07	(4, 0.25046963055729493)
Wednesday_14	(3, 0.18785222291797118)
Wednesday_11	(3, 0.18785222291797118)
Thursday_14	(3, 0.18785222291797118)
Wednesday_18	(2, 0.12523481527864747)
Wednesday_16	(2, 0.12523481527864747)
Tuesday_15	(2, 0.12523481527864747)
Tuesday_13	(2, 0.12523481527864747)
Tuesday_07	(2, 0.12523481527864747)
Sunday_17	(2, 0.12523481527864747)
Wednesday_17	(1, 0.06261740763932373)
Tuesday_12	(1, 0.06261740763932373)
Thursday_20	(1, 0.06261740763932373)
Thursday_10	(1, 0.06261740763932373)
